Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
_AppLauncher - Evolve Launcher;_AppLauncher - Evolve Launcher v11857+1.1.8 -OpenSource;com.jarjarblinkz.EvolveLauncher;11857;2023-09-20 21:19 UTC;12
_AppLauncher - LightningLauncher;_AppLauncher - LightningLauncher v502+5.0.2 -OpenSource;com.threethan.launcher;502;2023-09-14 17:20 UTC;5
_AppLauncher - Pi Launcher;_AppLauncher - Pi Launcher v55+0.5.5 -OpenSource;com.lvonasek.pilauncher;55;2023-06-07 14:25 UTC;7
_Utility - Wireless ADB;_Utility - Wireless ADB v1+1.2 -OpenSource;tdg.oculuswirelessadb;1;2023-07-21 13:25 UTC;20
10 Seconds;10 Seconds v3+1.0 -VRP;com.ZynkSoftware.SecondsMatter;3;2023-08-17 12:26 UTC;107
1976;1976 v13+1.3 -VRP;com.IvanovichGames.game1976;13;2023-07-05 12:43 UTC;788
2MD- VR Football Unleashed ALLSTAR;2MD- VR Football Unleashed ALLSTAR v300023+1.77 -VRP;com.truantpixel.twomdquest;300023;2023-10-19 13:32 UTC;2120
4XVR Video Player;4XVR Video Player v10012+1.0.12 -VRP;cn.vr4p.oculus4xvrplayerov;10012;2023-10-13 16:53 UTC;242
51 Aliens TV;51 Aliens TV v6+0.51 -VRP;com.fiftyonealiens.fiftyonealienstvquest;6;2023-04-17 15:03 UTC;355
9 Ball Pool VRX;9 Ball Pool VRX v1+1.0.0 -VRP;com.abstron.nine.ball.pool.vrx;1;2023-05-02 11:49 UTC;55
A Fisherman's Tale;A Fisherman's Tale v16+1.064 -VRP;com.innerspacevr.afishermanstale;16;2023-04-17 15:30 UTC;2189
A Knight in the Attic;A Knight in the Attic v119+.119 -VRP;com.MightyYellStudios.WobblyKnightMaster;119;2023-05-19 20:10 UTC;264
A Lullaby of Colors;A Lullaby of Colors v1+1.2.2 -unknown;com.idumpling.a_lullaby_of_colors;1;2023-03-09 12:57 UTC;149
A lunar adventure;A lunar adventure v22+1.0 -VRP;com.pyromobile.moon;22;2023-07-05 12:43 UTC;144
A Rogue Escape;A Rogue Escape v104+1.0 -VRP;com.armorgames.nauticrawlVR;104;2023-08-16 12:19 UTC;1137
A Township Tale;A Township Tale v36463+main-0.1.4.36463 -FFA;com.Alta.ATownshipTale;36463;2023-03-09 12:57 UTC;674
A102;A102 v54+1.0.4 -VRP;red.chesco.a102;54;2023-08-16 12:19 UTC;1144
Accounting+;Accounting+ v35+1.24.35 -QU;com.crowscrowscrows.AccountingPlus;35;2023-03-09 12:57 UTC;812
Acorn Assault VR- The Ride;Acorn Assault VR- The Ride v20+1.1.16 -VRP;com.hightalestudios.aavrride;20;2023-06-21 21:03 UTC;65
Acron- Attack of the Squirrels!;Acron- Attack of the Squirrels! v117225630+1.17.225630-release -VRP;com.resolutiongames.codenamelazarus;117225630;2023-09-07 21:17 UTC;214
Active Shooter Survival;Active Shooter Survival v9+21.5.24 -VRP;com.incitevr.activeshooter;9;2023-04-17 15:49 UTC;518
AFFECTED- The Manor - Complete Edition;AFFECTED- The Manor - Complete Edition v85+1.3 -VRP;com.fallen.manorquest;85;2023-08-16 12:19 UTC;1278
AGAINST VR;AGAINST VR v1+0.9.5 -FFA;com.JoyWay.AGAINST_M;1;2023-03-09 12:57 UTC;875
AimVR;AimVR v15+0.1.15 -VRP;app.pinbit.aimvr;15;2023-07-27 10:59 UTC;169
Air Brigade;Air Brigade v192+1.92 -VRP;com.OnlyHumanStudios.AirBrigadeVR;192;2023-03-09 12:57 UTC;1133
Air Brigade 2;Air Brigade 2 v38+0.38 -FFA;com.OnlyHuman.AirCombat2;38;2023-03-09 12:57 UTC;99
AirHockeyVR;AirHockeyVR v107+0.0.107 -VRP;com.Default.AirHockeyVR;107;2023-08-16 12:19 UTC;457
Airport Ground Handling Simulator VR;Airport Ground Handling Simulator VR v25+1.4.3 - 2023-04-14_17-33 - 16fe2009 -VRP;com.AVIAR.AGHS;25;2023-05-05 11:18 UTC;2481
AirRacer;AirRacer v32+2.0 -VRP;com.KAMPAI.AirRacer;32;2023-10-14 22:31 UTC;253
Alien Squatters;Alien Squatters v4+0.2 -VRP;com.ReedGaming.AlienSquatters;4;2023-08-16 12:19 UTC;238
Alienation;Alienation v23+1.293 -VRP;com.fiftyonealiens.alienationgame;23;2023-04-17 15:49 UTC;241
All Hail the Cook-o-tron;All Hail the Cook-o-tron v10+1.2.5 -VRP;com.SlapJak.CookOtron;10;2023-08-16 12:19 UTC;846
All-In-One Sports VR;All-In-One Sports VR v62+1.1.2 -VRP;com.Appnori.AllInOneSports;62;2023-10-20 12:07 UTC;886
Alpine Acceleration;Alpine Acceleration v11+1.1 -VRP;com.sai.AlpineAcceleration;11;2023-04-17 15:50 UTC;133
ALTDEUS- Beyond Chronos;ALTDEUS- Beyond Chronos v538+1.1.538 -VRP;com.MyDearest.Altdeus;538;2023-04-17 15:48 UTC;2044
Alvo;Alvo v35+0.35 -VRP;com.Mardonpol.Alvo;35;2023-07-01 15:48 UTC;5584
Amid Evil;Amid Evil v83+1.07 -VRP;aei.AndreElijahImmersive.AmidEvilVR;83;2023-05-02 11:49 UTC;4000
Anatomy of a Chicken;Anatomy of a Chicken v2+1.0 -VRP;com.poultryhub.anatomyofachicken;2;2023-06-02 10:56 UTC;97
Ancient Dungeon;Ancient Dungeon v118+ea0.1.3.6.2 -VRP;de.erthu.ancientdungeonfull;118;2023-10-17 11:56 UTC;216
Andromeda Sports;Andromeda Sports v34+1.1.4 -VRP;com.kinerse.andromedaSports.apk;34;2023-04-17 15:50 UTC;253
